"Timestamp"," 1. How visually appealing do you find the web app?  ","2. How easy was it to navigate the web app?  ","3. Did you experience any issues? e.g. loading delays or broken links?  ","4. How useful was the information and functionality provided on the web app?  ","5. Which features did you find most useful? (Select all that apply)  ","6. Overall, how satisfied are you with your experience on the web app? ","7. How likely are you to recommend this website to a friend or colleague?  ","8. Any comments or suggestions? "
"2025/04/20 7:08:04 PM GMT+1","Extremely Appealing","Very Easy","No","Very Useful","Application Listings;Feedback Insights;Data Export Options;Analytics Dashboard;Adding New Applications;Editing Applications","4","10 (Extremely likely)","Overall, It is extremely very well functional and visually appealing. I would suggest to also include percentages in pie charts, and a way to directly update application status on listings page."
"2025/04/20 10:32:51 PM GMT+1","Very Appealing","Very Easy","No","Extremely Useful","Application Listings;Data Export Options;Adding New Applications;Editing Applications","4","9","The font style could be improved by using simple fonts like sans-serif, which would give a clean and minimal look.

Also, the analytics layout and design could be enhanced."
"2025/04/21 9:53:56 AM GMT+1","Very Appealing","Very Easy","No","Very Useful","Application Listings;Feedback Insights;Data Export Options;Analytics Dashboard;Adding New Applications;Editing Applications","5","10 (Extremely likely)",""
"2025/04/21 1:11:49 PM GMT+1","Very Appealing","Very Easy","No","Extremely Useful","Application Listings;Data Export Options;Analytics Dashboard;Adding New Applications","4","7",""
"2025/04/21 3:07:42 PM GMT+1","Very Appealing","Very Easy","No","Extremely Useful","Application Listings;Feedback Insights;Analytics Dashboard;Editing Applications","5","10 (Extremely likely)","Everything worked smoothly, and the design is clean and easy to use. Great job!"
"2025/04/22 2:05:15 PM GMT+1","Moderately Appealing","Somewhat Easy","No","Very Useful","Application Listings;Feedback Insights;Data Export Options;Analytics Dashboard;Adding New Applications","4","6",""
"2025/04/22 2:08:37 PM GMT+1","Extremely Appealing","Very Easy","No","Extremely Useful","Application Listings;Feedback Insights;Data Export Options;Analytics Dashboard;Adding New Applications;Editing Applications","5","10 (Extremely likely)",""
"2025/04/22 2:19:24 PM GMT+1","Moderately Appealing","Neutral","No","Extremely Useful","Application Listings;Feedback Insights;Data Export Options;Analytics Dashboard;Adding New Applications;Editing Applications","5","10 (Extremely likely)","It is extremely useful, i will suggest this web to everyone around me ...Thanks for established this web..ðŸ™‚"
"2025/04/22 2:19:30 PM GMT+1","Very Appealing","Somewhat Easy","No","Moderately Useful","Feedback Insights;Analytics Dashboard;Editing Applications","5","9",""
"2025/04/22 2:21:41 PM GMT+1","Very Appealing","Very Easy","No","Very Useful","Adding New Applications","5","10 (Extremely likely)",""
"2025/04/22 2:28:56 PM GMT+1","Extremely Appealing","Very Easy","No","Extremely Useful","Data Export Options","5","8","Good experience "
"2025/04/22 2:36:53 PM GMT+1","Moderately Appealing","Somewhat Easy","Yes","Very Useful","Application Listings","3","3",""
"2025/04/24 3:06:31 PM GMT+1","Very Appealing","Somewhat Easy","No","Very Useful","Analytics Dashboard;Adding New Applications","5","8",""